rating,comment
Amber,"Feddrov has been in the range of 60 since the beginning of the year. I have already communicated to him my concerns about his Progression at RH and he has had a meeting with Simone where she will try to find some other Psychology programs to accomodate him. While not impossible, I do believe he will find it difficult in the Psychology Department at RH."
Pink,"Feddrov is trying hard but he is kind of finding it difficult to adjust to expectations of University studying. He missed his deadline for Summative 1 because he thought it was for a different month. His spoken English is not improving despite all my efforts (asked him to keep a list of words, to always ask for things he does not understand, etc.) and he seems a bit overwhelmed. He Formative 2 was really poor as well. I do not want to dissapoint him but I believe he will have a lot of difficulty in progressing, especially since his Degree is Psychology which is quite a difficult one to progress to."
Pink,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
Amber,"Feddrov has been in the range of 60 since the beginning of the year. I have already communicated to him my concerns about his Progression at RH and he has had a meeting with Simone where she will try to find some other Psychology programs to accomodate him. While not impossible, I do believe he will find it difficult in the Psychology Department at RH."
Pink,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Green,
Pink,"Humnah moved to this pathway recently, and I think she needs to work hard to reach her goal by attending all the classes and completing all the tasks and homework that she has missed."
Red,"I have a concern about Humnah's progress after she changed her pathway she hasn't attended any Physics classes or the lab sessions. I do not know how she will manage to catch up on all the topics and the lab experiments that she has missed. She needs to be more responsible by attending all the classes in the future. Also, I suggest she arranges catch up classes with me and shows a proactive interest in doing so."
Red,I did not see this student in my class yet.
Green,"Humnah's positive attitude to learning and the respect she consistently shows both to her tutors and her classmates make her a real pleasure to teach. Her formative AES assessment results indicate she has a firm grasp on the principles of Academic English and is more than capable of putting them into practice. Provided she continues working hard next term, I expect Humnah's summative results to be of equally high standard. During the Winter Break, Humnah should start working on the AES research project so that she can get started on CW1 as soon as Term 2 begins."
Amber,Humnah has a good understanding and participates well during classes. Should do well and progress to achieve her goal if she continues at this current level.
Red,"These comments are based on the student's performance in class and results of the first formative assessment. Humnah jointed the class later and was working well during the first few classes. Then she stopped attending regularly. She never submitted any homework and did not attend the recommended Maths Workshop either. This resulted in very poor performance in her test. To improve the situation, she needs to work regularly in classes and at home, submit her homework for marking, and attend Maths workshops. Hopefully this will improve the situation."
Amber,
Amber,
Green,
Pink,"These comments are based on the student's performance in class and results of the first summative assessment. 
Humnah attendance is not satisfactory. She knows some topics, but she is not trying to learn new elements and she is often distracted in class. This resulted in her poor test result. She should start to study properly before it is too late: pay attention in classes; attend Maths workshop, regularly submit the homework."
Green,"Humnah is a very intelligent and capable student. This term, however, she has missed a significant number of AES classes which resulted in lower class participation and, I feel, has taken some toll on her writing skills, as despite being a 
good writer, she tends to struggle with ensuring her work meets appropriate academic conventions. In Term 3, Humnah needs to take greater responsibility for her studies and ensure she attends all classes. Should she miss any lessons for unavoidable health-related reasons, it is imperative she gets in touch with her tutor and catches up on all work she has missed. During the Spring Break she should work on her CW3 and use her AES book and Moodle page to revise all material taught in Term 2 paying particular attention to argumentation and academic style."
Amber,She needs to pay more attention and keep up with the work; I do not think she is putting in the required effort for the course. She should do a self-study every week.
Green,She works well in classes and has a good understanding of the subject. She needs more self-study to progress and achieves her goal.
Amber,"These comments are based on the student's performance in class and results of the first summative and second formative assessments.
Humnah is often late, she missed some classes as well. Her results for the resit of the first summative test and second formative assessment were good, but she needs to attend regularly, continue to work in class and in home in order to achieve the required high marks in the final examination."
Green,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
Green,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Green,
Green,
Red,This student has not attended a single class I ran.
Green,
Amber,"Alainah is a bright and capable student who, when focused, makes valuable contributions to AES classes. Having said that, she gets easily distracted by her fellow classmates, which frequently impacts her ability to fully understand and internalise concepts introduced in class. This is reflected in her formative AES Term 1 results, which show her writing skills to be below the level required for progression to her chosen degree at Royal Holloway. It is therefore very important that Alainah dedicates some time during her winter break to revising principles of academic writing style and attends writing workshops when they re-commence in Term 2."
Green,"Your work this term has no doubt been impacted by your attendance. However, you are capable of good work, including accurate and insightful interpretation of the texts that we are studying. It would be good to hear more from you and see you focusing more on the matters at hand rather than carrying on your own conversations at the back of the room, which happens all too frequently. You do work well in groups when you stay on track with the relevant task, but you have a capacity to get sidetracked, so next term please focus on your attitude, making sure that you prepare for classes and take an active and constructive part in them. Your formative assignment was good, but showed possibilities for development which we will discuss at your tutorial."
Pink,"Alainah's progress has been very slow. She missed many classes and this was reflected in the quality of her formative essay and her class contributions. To catch up with the rest of the class, she would need to devote more time to independent study and wider reading."
Green,"You are a very able student and I have no worries over your progression. 
Your formative assignment was good but I am certain you can do much better than this.
You have the capabilities for much higher marks. A bit more commitment can do wonders in your case."
Amber,
Green,
Pink,Alainah missed all classes since the beginning of December 2018. At this point she is unlikely to reach a progression grade for global politics
Green,
Green,"Alainah is a very intelligent and capable student. This term, however, she has missed a significant number of AES classes which seems to have taken a toll on her performance in summative coursework 1, which showed work well below Nur’s capabilities. Alainah is a good writer but, perhaps due to the number of classes she has missed, she tends to struggle with ensuring her work meets appropriate academic conventions as is well-structured. In Term 3, Alainah needs to take greater responsibility for her studies and ensure she meets all her deadlines and attends all classes. Should she miss any lessons for unavoidable health-related reasons, it is imperative she gets in touch with her tutor and catches up on all work she has missed. During the Spring Break Alainah should work on her CW3 and use her AES book and Moodle page to revise all material taught in Term 2 paying particular attention to argumentation and academic style."
Amber,"You have potential in Arts. However, your attendance is becoming problematic for your progress, because you have missed so much of the course content. Moreover, you did not submit a formative assignment, so I cannot gauge your progress. You also do not have that set of feedback to help you prepare for your summative assignment. In order for you to progress, you need to start ensuring that you are obtaining the most benefit from your classes as possible. You can do this by reading the texts and engaging with class discussion, as well as preparing thoroughly for lessons. It is not too late for you to do well in Arts, but you need to start working hard."
Amber,"Alainah clearly showed with the Formative Assessment 2 good knowledge of Global Politics and good research skills. Unfortunately, the grade for the Summative Assessment 1 is low and does not reflect her abilities. The main reason remains the high number of missed classes."
Pink,"While with a very good level of English and critical thinking, her actual determination and passion for studying at the IFY has been non-existent. I have seen her only half the times we have class. It is a pitty that she might not progress due to poor attendance."
Green,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
Pink,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Amber,
Pink,Xin is not participating actively in class and is unable to answer questions when asked. I am concerned about his level of english and he now needs to develop his language skills urgently.
Amber,
Pink,"Overall, Xin is a good student but is easily distracted by his peers. At this point in the course it is difficult to know how much he is absorbing of the class content, though one thing is clear, he needs to concentrate more in class overall. In order for him to progress I would recommend he attends one Management and Economics workshop a week until the end of term."
Red,"Your exams results, apart from speaking, are concerningly low. You need to try harder to communicate in English in class and let me know when you need help understanding. You will need to attend the listening and writing workshops next term as well as regularly practice your reading, writing and listening skills outside of class. There are many recommendations for how to do this on Moodle. You should also make sure you complete the reading practice tests at the back of the AES book."
Pink,"Xin is not engaging with classes very well. He does not engage in class discussions and is unable to answer questions when asked. Having said that, his formative result was very encouraging so I am hopeful that this trend will continue. He needs to continue to work on his English and to develop his knowledge through reading the textbook/Moodle."
Red,"I am really concerned about Xin. His attendance has been quite patchy and his understanding is very shaky. I am concerned that he will not progress at this rate. Attendance of all workshops is vital. I would advise Xin to also arrange a few personal tutorials with me, so we put in place a learning plan for him in his personal time."
Amber,"Li Xin is mostly engaged in class, although he tends to remain quiet in group discussions. While he shows good understanding of the concepts introduced so far this term, he has not achieved his full potential achieving 56% in his first formal formative assessment. While this is a fair score for this first term, I would like to see him do much better in his summative assessment next year. To achieve this, he needs to attend a few workshops as this will aid his progress."
Pink,"You have been a satisfactory student in class and have sometimes tried hard to understand what we have studied. However, your listening, reading and writing exams results are concerningly low. You need to attend the listening and writing workshops as well as regularly practice your writing, reading and listening skills outside of class. There are many recommendations for how to do this on Moodle for example the listening videos with questions or TED talks for note-taking skills and strategies. You should also make sure you complete the reading practice tests at the back of the AES book."
Amber,
Red,Xin is underperforming in class. He must attend workshops more regularly and he should self-study to progress this year
Amber,
Pink,"Xin needs to contribute more in class. He needs to keep focused and always be prepared. His reading, writing, speaking and listening grades all need to improve to ensure progression. To achieve this he should attend listening and writing workshops, use the grammar book to build up his writing skills, read more frequently to build up vocabulary and regularly listen and complete all of the practice tests in the AES books. For speaking, he needs to speak in English inside and outside of class as much as possible. He should try to make more friends who speak other languages."
Pink,Xin is not committed enough to his studies. He does not get involved with class discussions and is unable to answer questions when asked. His challenge now is that he both needs to focus on his language skills and his studies in business.
Pink,He is very quiet in class. He needs to work hard to progress this year. I would advise him to arrange a few personal tutorials with me to place  a learning plan in his own time
Pink,"Xin Li - you need to pay more attention and keep up with the work; I do not think you are putting in the required effort for the course. You should engage in self-study every week and need to be more interactive in class. You need to improve your listening writing skills, as well as work on your accounting. I recommend you attend workshop classes after Easter."
Pink,Comments remain the same as for RPAG4.
Pink,Xin is not committed enough to his studies. He does not get involved with class discussions and is unable to answer questions when asked. His challenge now is that he both needs to focus on his language skills and his studies in business.
Pink,Comments remain the same as for RPAG4.
Pink,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Pink,Leo appears to be a capable student but has not shown much willingness to work hard and try to develop his AES skills. As such I have seen very little work from him. He needs to improve his attitude and would probably benefit from attending listening and writing workshops. He needs to participate in class activities more in order to maximise his chances of progression.
Amber,
Amber,
Amber,
Red,"Your exams results, apart from speaking, are concerningly low. You need to try harder to communicate in English in class and let me know when you need help understanding. You will need to attend the listening workshop next term and I strongly recommend you also attend the writing workshops too. As well as that, you need to regularly practise your reading, writing and listening skills outside of class. There are many recommendations for how to do this on Moodle. You should also make sure you complete the reading practice tests at the back of the AES book."
Pink,Yongqi is very quiet in class and does not contribute to class discussions. When asked questions he is unable to answer. Yongqi did not submit a formative assessment so this means that it is not clear if he is developing at all.His English skills appear to need development and he must now focus on improving his English and confirming the first term of learning by reading the book/Moodle.
Red,"I am really concerned about Xin. His attendance has been quite patchy and his understanding is very shaky. I am concerned that he will not progress at this rate. Attendance of all workshops is vital. I would advise Xin to also arrange a few personal tutorials with me, so we put in place a learning plan for him in his personal time."
Pink,"Leo participates in class only when asked direct questions and this is a measure of his engagement in Economics. It is also reflected in his poor score for his first formal formative assessment (34 %), which is well below the IFY pass mark. One factor which is holding him back is his poor attendance. This is something he must change urgently in the new year if he is to progress on to his chosen degree. Leo should also ensure he completes all tasks on time and to the best of his ability. I hope he will do much better in his summative assessment, as he was given clear instructions and advice through personal tutorial that were offered to all students."
Pink,You need to put more effort into your AES class. You especially need to focus on improving your listening and reading skills. You also failed to attend your summative seminar speaking exam. It is strongly recommended you attend the listening workshops. You need to put more effort into paying attention in class and participating in the activities. Without a greater effort there is a good chance you will not achieve the marks you need to progress on to your chosen course.
Pink,Yonqi did not submit a summative assessment. He lacks engagement in class and is unable to answer questions. He must now commit to improving his English urgently or he risks failing the course.
Red,"Yongqi should attend all workshops as his performance not good, and he needs to work hard to progress this year. I would advise him to arrange a few personal tutorials with me to place a learning plan for him in his own time"
Pink,"Leo missed many class so low with  attendance ,low performance, has not submitted his summative assessment work, need to concentrate and make optimum effort to progress."
Pink,"Leo needs to contribute more in class. He is often not paying enough attention to be able to take part in discussions. He sometimes shows he is capable of doing very well, but he needs to be more consistent and diligent. His reading, writing and listening skills all need to be improved to meet progression requirements. I suggest he use the grammar book to build up your writing skills, read more frequently to build up vocabulary and regularly listen and complete all of the practice tests in the AES books. He should also attend listening and writing workshops."
Pink,"Yongqi is not committed to his studies. He does not get involved in class, he does not take notes and he spends most of his time looking at his phone. He is unable to answer direct questions when asked. I am very concerned that he will not be able to complete the course."
Pink,I am really concerned about him. He is very quiet in class. He needs to work hard to progress this year. I would advise him to arrange a few personal tutorials with me to place  a learning plan in his own time
Pink,"Leo - you need to pay more attention and keep up with the work; I do not think you are putting in the required effort for the course. You should engage in self-study every week and need to be more interactive in class. You need to improve your listening writing skills, as well as work on your accounting. I recommend you attend workshop classes after Easter."
Pink,Comments remain the same as for RPAG4.
Pink,"Yongqi is not committed to his studies. He does not get involved in class, he does not take notes and he spends most of his time looking at his phone. He is unable to answer direct questions when asked. I am very concerned that he will not be able to complete the course."
Pink,Comments remain the same as for RPAG4.
Pink,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Green,
Amber,
Green,
Green,
Pink,"Nesini has strong English language skills, but she needs to fully demonstrate her potential in AES; so far she has missed a number of AES classes and the listening exam. In class, she is engaged, focused and has shown a good level of understanding.  I strongly believe she is capable of scoring highly to ensure successful progression. She has the potential to do very well, but she needs to ensure that she reviews and applies the skills taught in her work. During winter break I strongly advise her to complete all AES reading exam practice tasks and 2 essays and in term 2 make use of the AES drop-in clinic to further support her English studies."
Red,"I am really concerned about Nesini. Her attendance has been quite patchy and her understanding is very shaky. I am concerned that she will not progress at this rate. Attendance of all workshops is vital. I would advise Nesini to also arrange a few personal tutorials with me, so we put in place a learning plan for her in her personal time."
Green,You are a very able student and I have no worries over your progression. Keep doing what you are currently doing.  Your knowledge of the subject is excellent and you show dedication for the subject as well.
Green,You are a very able student and I have no worries over your progression. Keep doing what you are currently doing. I believe we can expect great things from you if you continue with the same commitment.
Pink,"Nesini has strong English language skills and in class she is engaged, focused and shows a good level of understanding. Her summative speaking assessment this term has been pleasing, but her listening has been disappointing and so she needs to ensure that she reviews and applies the skills taught in class to her exams. Nesini should continue working hard to ensure successful progression and make use of the AES drop-in clinic to further support her English studies."
Red,"Nesini is very quiet in the class. She should attend all workshops as her performance not good, and she needs to work hard to progress this year. I would advise her to arrange a few personal tutorials with me to place a learning plan in her own time"
Green,
Green,
Amber,"Nesini's is a very capable student; however, her summative grades so far have not reflected this. Her summative listening grade was disappointing and so she should make sure she follows instructions fully, and although her speaking grade was good, it could be better. Nesini has been making an effort with her writing, but the aspect that she struggles with most at the moment is paraphrasing and idea that you should not lift all evidence from the text. She should complete some reading and writing skills exercises by using the exam practice booklets in the appendices section of the AES workbook."
Amber,She did quite well in her resit assessment. She is very quiet in class. She needs to work hard to progress this year. I would advise her to arrange a few personal tutorials with me to place a learning plan in her own time
Green,Nesini is one of the best students in this cohort.
Green,Nesini is one of the top students in this cohort and she will have no problem with progressing and going on studying Psychology.
Amber,Comments remain the same as for RPAG4.
Amber,Comments remain the same as for RPAG4.
Green,Nesini is one of the best students in this cohort.
Green,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Green,
Green,
Amber,
Green,
Amber,"While Gustavo scored very well in his formative AES exams, his participation in class this term left a lot to be desired. He missed many of his classes and rarely made the effort to go through the material missed or check what homework was set for the next day. As a result, he may struggle to complete his summative coursework as - unlike the exams - it is knowledge- rather than skill-based. It is thus imperative that Gustavo dedicates some time during his winter break to AES Term 1 revision and ensures he understands all concepts taught in term 1 before the course resumes in January."
Green,"Gustavo is a very talented student. His formative result was a little disappointing, but this is probably more indicative of his lack of experience of preparing work in this style. He has excellent English and is very engaged with classes. He often participates in class discussions, asks questions and is eager to answer questions when asked.I expect Gustavo to do very well on the course."
Red,"Gustavo needs to pay more attention and keep up with the work; I do not think he is putting in the required effort for the course. He should do self-study every week. He is willing to learn, but I think he should attend Maths workshop"
Green,"Gustavo is a studious and attentive student. He listens carefully in class and focuses well when working independently or as part of a group. I advise him  to continue to build on his confidence and contribute more regularly in class, since putting forward ideas in group discussions will enhance his critical thinking skills, giving him the opportunity to shape his own thinking in relation to that of others. Gustavo has achieved 70% in his first formal formative assessment, which is a very good grade. I do feel however, that there is even more potential in Gustavo and that he can do even better in future assessments, as I explained to him in his one to one tutorial with me. Nonetheless, so far so good. Keep up the good work Gustavo!"
Amber,
Green,
Red,I am concerned about Gustavo as he is not doing well in the assessments. His attendance. He must attend workshops more regularly to progress.
Amber,
Amber,"Gustavo is a very intelligent and capable student. This term, however, he has missed a significant number of AES classes which seems to have taken a toll on his performance in summative coursework 1, which was submitted late and thus awarded a fail mark. Gustavo is a very good writer but, perhaps due to the number of classes he has missed, he tends to struggle with ensuring his work meets appropriate academic conventions. In Term 3, Gustavo needs to take greater responsibility for his studies and ensure he meets all his deadlines and attends all classes. Should he miss any lessons for unavoidable health-related reasons, it is imperative he gets in touch with his tutor and catches up on all work he has missed. During the Spring Break he should work on his CW3 and use his AES book and Moodle page to revise all material taught in Term 2 paying particular attention to argumentation and academic style."
Green,Gustavo is a very good student and is fully involved in all classes. The only risk is that at times he can procrastinate and avoid follow up work which might let him down. If he can master organising himself he has the talent to have a successful university career.
Pink,"He is working hard in class, but he is not progressing in the exam. He must attend workshops more regularly in order to progress. I advise him to work harder in his spare time and to speak with me regularly if he is struggling to understand the work"
Pink,"Gustavo - at times you demonstrate a good uptake of knowledge of this subject. I am pleased to see that during class you do answer questions and your confidence in class is very good. Please now try and improve your accounting skills as this let you down in our recent formative assessment. Please attend my workshop classes after Easter as the grade you received was far too low for a student such as yourself. You have the potential to do well and progress, but must work hard in the areas you are weakest in."
Amber,Comments remain the same as for RPAG4.
Green,Gustavo is a very good student and is fully involved in all classes. The only risk is that at times he can procrastinate and avoid follow up work which might let him down. If he can master organising himself he has the talent to have a successful university career.
Pink,Comments remain the same as for RPAG4.
Pink,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Green,
Amber,
Amber,
Green,
Green,"I am very optimistic Prithvi will meet progression providing he remains focused and prepares well for his exams. He is both engaged in class and contributes well to discussions. A particular area to pay attention to is his academic writing; he already writes well, but needs to focus on applying the writing skills taught in class to improving his academic style to ensure he achieves the best grade possible. His reading is not reflective of his capability and I hope to see an improve next term. During winter break he should work on completing all AES reading exam practices."
Green,"Prithvi is a very good student. He gets fully involved in classes, takes notes and is always open to answering questions when they are posed. His formative result was very good and he should do very well on this course."
Red,"I am really concerned about Prithvi. His attendance has been quite patchy and his understanding is very shaky. I am concerned that he will not progress at this rate. Attendance of all workshops is vital. I would advise Prithvi to also arrange a few personal tutorials with me, so we put in place a learning plan for him in his personal time."
Green,"Prithvi is a hardworking student. He listens carefully to others in class and focuses well, though he himself tends to remain relatively quiet in class discussions. I advise him  to build his confidence and contribute more regularly in class, since putting forward ideas in group discussions will enhance his critical thinking skills, allowing him to shape his thoughts in relation to those of his peers. Prithvi has achieved 75% in his first formal formative assessment, which is a very good grade. I am sure he will continue to make progress with his positive attitude. Well done!"
Green,
Green,
Red,"Raj should attend all workshops as his performance not good, and he needs to work hard to progress this year. I would advise him to arrange a few personal tutorials with me to place a learning plan for him in his own time"
Green,
Green,"Prithvi is a capable student who is on track to reaching progression. His summative listening and speaking grades have been good, but it is felt that he is capable of achieving even higher with a little more preparation. He has shown good reading and writing abilities, but he needs to focus more on his writing skills; more specifically paraphrasing and the integration of sources. By practising and applying the written skills taught in class as I am sure he'll go on to do well. R&W practice exercises can be found in the appendices of the AES coursebook and he could also make use of the AES drop-in clinics for additional writing support."
Green,Prithvi is a talented student and is a pleasure to have in class. He gets involved in class discussions when asked and often makes a very useful contribution. His work is of a high standard and he will go forward to a successful university career.
Amber,He did quite well in his resit assessment. He needs to work hard to progress this year. I would advise him to arrange a few personal tutorials with me to place a learning plan in her own time
Green,"Prithvi - you demonstrate some knowledge of the subject and I am pleased to see that you try and answer some questions during class. This is evidence that your confidence is growing, but I think you could develop this further. You do need to improve your listening skills however, as well as improving you written skills. If you do this, I am confident you have the potential to progress."
Green,Comments remain the same as for RPAG4.
Green,Prithvi is a talented student and is a pleasure to have in class. He gets involved in class discussions when asked and often makes a very useful contribution. His work is of a high standard and he will go forward to a successful university career.
Amber,Comments remain the same as for RPAG4.
Green,Comments remain the same as for RPAG4.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Amber,
Amber,
Amber,
Pink,"I believe that Cloud is putting some effort in the course. He needs to however be more active and try to talk and write in English and in subject specific vocabulary as much as possible. A good idea would be to attend workshops, both for Psychology and English language, as well as create a glossary of concepts we examine (if he has not yet done so, as I have asked them to do so) and make sure he is able to define all of them."
Red,"Your exams results, apart from speaking, are concerningly low. You need to try harder to communicate in English in class and let me know when you need help understanding. You will need to attend the listening and writing workshops next term as well as regularly practise your reading, writing and listening skills outside of class. There are many recommendations for how to do this on Moodle. You should also make sure you complete the reading practice tests at the back of the AES book."
Amber,"Yunshan is a good student and takes his studies seriously. Unfortunately although his English is improving it is still holding him back from joining in class discussions - which he does attempt to do. His result in the formative was not good, but shows some progress and based on the feedback I would expect him to do better in the summative."
Pink,Yunshan needs to pay more attention and keep up with the work; I do not think he is putting in the required effort for the course. He should do self-study every week. He needs to be interactive during classes; he needs to attend Core Maths workshops
Amber,"You have a problem with your attention in class as, often when I ask you questions, you seem to not be following me. I often have to repeat a subject and question twice to you. If you do not understand something, please ask me during class.

You have to improve your speaking skills and I would like you to take more initiative towards this. 

Your formative showed that you have some ability and understanding of what we are covering but you have to improve. 

I hope you have understood what we mean by critical analysis and the examples I have used for this. You are supposed to write academically, using evidence to support your argument. And you have been shown how to do that.

You should continue to attend workshops."
Pink,You have shown some good speaking skills and have tried hard to participate in class. You sometimes complete homework and try hard to understand. You need to work on improving your other skills particularly your writing. I strongly advise attending the writing workshop next term as well as regularly practising your listening and reading skills outside of class. There are many recommendations for how to do this on Moodle. You should also make sure you complete the reading practice tests at the back of the AES book.
Amber,
Amber,
Green,
Amber,"Cloud is a keen and attentive member of the class. He contributes well and asks when he needs help. Generally, he is doing fine, but his writing marks in particular need improvement. To achieve this he should use the grammar book more often, write more practice essays using the practice exam questions and read more academic texts."
Amber,"Yunshan is a very positive influence in class and is interested and involved. However, his language skills seem to hold him back. If his language skills improved I think that Yunshan might be quite a good student, as things stand if he continues to work he should be successful on the course."
Amber,He needs to pay more attention and keep up with the work; I do not think he is putting in the required effort for the course. He should do self-study every week to progress and achieves his goal.
Amber,"Cloud will manage to pass and progress in Psychology. He has showed dedication and ability to actually comprehend the subjects we have been discussing throughout the year. Although Psychology is not his favourite subject, he seems to be able to comprehend everything we discuss.
I do believe he will need to improve a bit in his spoken language to do well next year as an Undergraduate."
Amber,Comments remain the same as for RPAG4.
Amber,"Yunshan is a very positive influence in class and is interested and involved. However, his language skills seem to hold him back. If his language skills improved I think that Yunshan might be quite a good student, as things stand if he continues to work he should be successful on the course."
Amber,Comments remain the same as for RPAG4.
Amber,"Cloud will manage to pass and progress in Psychology. He has showed dedication and ability to actually comprehend the subjects we have been discussing throughout the year. Although Psychology is not his favourite subject, he seems to be able to comprehend everything we discuss.
I do believe he will need to improve a bit in his spoken language to do well next year as an Undergraduate."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Amber,
Pink,"I am concerned about Tianhao's level of understanding in class. There are times when other students need to explain the tasks to him. He does not participate in class discussions and finds it difficult to answer questions. Tianhao needs to really work on his language skills by immersing himself in the language at all times, for example watching english language films/tv."
Pink,"Hu Tianhao- Kevin is a good student but a little too quiet in class. At this point in the course, it is difficult to know his level of understanding of Economics. One factor contributing to this is his reluctance to answer questions in class, which makes it difficult to gauge how much he has fully understood. In order for him to progress I would recommend he attends one Management and Economics workshop a week until the end of term."
Pink,"Although I had great concerns about Tianhao, I have discussed with Philippa which has assured me that his level of English understanding is not as low as I thought. Since then, I have asked him questions during class and he was able to answer them, albeit with a limited vocabulary. I do believe that he will be able to pass but he will need to put some effort for progressing."
Red,"You have been a good student in class and have tried hard to understand what we have studied. However, your listening, writing and reading exam results are concerning. You must attend the listening workshop next term and regularly practise your reading, writing and listening skills outside of class. There are many recommendations for how to do this on Moodle; for example, completing the listening videos with questions can help you prepare for Part 2 of the AES exam. You should also make sure you complete the reading practice tests at the back of the AES book."
Amber,"Tianhao has begun to make a more positive contribution and concentrate more in class. At first his English seemed to be holding him back, but this now appears to be improving. His formative result was low and this definitely needs to be worked on taking the feedback into consideration. Tianhao needs to spend more time reading the textbook to ensure that he has a good understanding of the topics in class."
Amber,"I am very pleased with Kevin's attitude and he is showing good progress in class. One area for Kevin to push harder in is in contributing to class discussions. nonetheless, he is trying to focus more on the content that is being delivered and starting to show some understanding of the concepts introduced thus far in this term. Kevin has achieved 53% in his first formal formative assessment, which is below the score required for progression and so must try harder in achieving a higher grade in his summative assessments after the Christmas break. To do this, he should consider carefully the written feedback given to him and the feedback I gave him in our one-to-one tutorial. Also, currently, he is not attending workshops regularly and must do so in the new year. I am sure he has the potential to work hard and continue to make progress."
Amber,Your formative assignment was okay but you will need to improve on the summative to attain a progression mark. You do have the ability to improve on that but what is required of you is concentration skills and commitment.You have to improve your speaking skills and I would like you to take more initiative towards this. Your overall English skills need to improve but I can see you are putting some effort towards that direction.
